date;name;tweet;sentimen
Oct-03;.Onyi;Kalem bos  masih ada pilihan paket lainnya kok wkwk  Dan akan selalu nongol paket lainnya yang lebih menarik wkwk;negatif
Oct-03;sering nyari etensyen;Rajin pangkal pandai  hemat pangkal Pungkil   pangkul  Nang ning nang ning nang eu;netral
Oct-03;Yay!;Eh kok... ;negatif
Oct-03;fahmi farodhi;@byu_id halo nindy  jaringan lgi jelek bener nih buat main game @Marvel_FFightUS tolong diperbaiki ya;negatif
Oct-03;fauzanVeri;Tapi yang ane  setelah masa aktif habis dan pilihan paket masih tersedia  paket tetap masih bisa dibeli;netral
Oct-03;Yay!;No Hate ya  masa aktif 7 hari dan paket hanya bisa dibeli 30 hari sekali? ;netral
Oct-03;fauzanVeri;Sering2 dial *999# untuk simpati  dan *567# untuk Loop;netral
Oct-03;King;kartu gue kirim ui ga nyampe2 dari bulan Mei;netral
Oct-03;alfa;Makasih loo infonya wkwk;netral
Oct-03;ssabrinaa⁷ ;@byu_id kirim pulsa dari telkomsel ke by.u gabisa ya ;negatif
Oct-03;ndor ツ;Pangkal tipes;netral
Oct-03;Franz Borneo;Rajin pangkal kaya  hemat pangkal bokek;netral
Oct-03;알반;Wkwk... Bener juga  Pdhl klau gk slah ad bbrp yg jual kartu² tsel yg buat pakat² murah gitu cmiiw (?);positif
Oct-03;ha?;Hemat pangkal pelit;negatif
Oct-03;RajinCuciTangan;WRONG ANSWER ONLY!  Rajin pangkal pandai  hemat pangkal Pinang;netral
Oct-03;NOBODY CARES;Buset gimana caranya bang;netral
Oct-03;Wibisono;Rasan2 tetangga;netral
Oct-03;#GuePersija;WRONG ANSWER ONLY!  Rajin pangkal pandai  hemat pangkaaaaaaaaaaalllllllllllan jati pangkalan jati bu ayo bu 2 lagi jalan bu yok pangkalan jati yok *kenek;netral
Oct-03;I;Hallo kak @byu_id mau minta tolong;netral
Oct-03;masisan;Lah baru tau  @byu_id makin gokil aja wkwk;netral
Oct-03;RSYNFKRYHWL;Pangkal pinang;netral
Oct-03;Agung supriadi;Ketagihan & betah;positif
Oct-03;fauzanVeri;Kalau masalah rata  jelas tidak ya. Tapi area disini paket semuanya paling murah dibanding kota lain. Sebagai contoh kuota 52GB cuman 98rb plus free YouTube  Instagram  WhatsApp dan lainnya full speed;negatif
Oct-03;Alpha;pelit pangkal kaya;negatif
Oct-03;SEPTIAN ツ;Yuklah ;netral
Oct-03;;1Mbps 100K;netral
Oct-03;fidafalala;Mending boros aja yu biar ga indo ga resesi;negatif
Oct-03;꧋ꦥꦏ꧀ꦝꦺ ꦝꦶꦝꦶ꧉;Rajin pangkal pandai  hemat pangkal ngiler doang;negatif
Oct-03;Pinn ･ ᴗ ･⁷;Kak mau tanya kalo di isi pulsa bs aktif lg ga? :(;netral
Oct-03;A;Bahagia;positif
Oct-03;ondel-ondel mania;an ojek;netral
Oct-03;Furinkazan;Semai;netral
Oct-03;.Onyi;Awokawokawok  Baru pindah haluan juga ni gua bang wkwk;netral
Oct-03;Bang Tama;eh ga jadi deng. ternyata salah milih APN. haha RT @TamaJiRoLuPatMo: @byu_id sinyalku kok cuma H+  padahal telkomselnya dpt 4G. posisi kartu juga sudah di sim 1;negatif
Oct-03;Luke khaswara;Baru nyoba yang 1 5mbps nih min... enak juga buat game youtube lancar ;positif
Oct-03;One;Paket yang bikin aman unlimitednya donh  yang bikin hemat 10GB buat download  ama pakt nelfon nya tuh  cuman sarebu doang wkwkw parah dah ini ;negatif
Oct-03;halo, saya;kayu;netral
Oct-03;Pranidhana Agus;Rajin pangkal pandai  hemat pangkal ga bisa jajan;negatif
Oct-03;misi;Rajin pangkal pandai Hemat pangkal-an gas  Yuk testimoni klen yg udah pake @byu_id   ada bau bau mo pindah ni  krna liat topping dr @byu_id menggiurkan;negatif
Oct-03;Bang Tama;@byu_id sinyalku kok cuma H+  padahal telkomselnya dpt 4G. posisi kartu juga sudah di sim 1;negatif
Oct-03;وحي ڤراسيتيا;Min  tadi Veronika nawarin paket yang menarik  Nindy kapan?;netral
Oct-03;Freddy Marung;Sekarang  hemat pangkal uang dipinjam teman;netral
Oct-03;Rezza R;@byu_id ini di pake yt  wa yg lain lancar giliran pake maen game lag mulu apakah ini pertanda? :(;netral
Oct-03;Slamet Chandra Umbara;Hemat pangkal lapar.   Saking hematnya makanan buat perut sendiri gak dibeli.;negatif
Oct-03;—sara kinda ia;rajin pangkal pandai  hemat pangkal 1mbps 100k 30 hari. valid no debatt!;positif
Oct-03;Blooming Harvest;Hemat pangkal KUOTA UNLIMITED 100 RIBU 30 HARI;netral
Oct-03;cangg;WRONG ANSWER ONLY!  Rajin pangkal pandai  hemat pangkal PAHA.;netral
Oct-03;Wahyu Zulfahmi Hrp;Tampan;netral
Oct-03;fauzanVeri;Hemat Pangkal Unlimited tanpa FUP;netral
Oct-03;Andro Sultan;Rajin pangkal pandai  hemat pangkal ____by.U______;netral
Oct-03;zzZzZZ;Udara;netral
Oct-03;BungoMart;Laporan di kotak masuk masih ada dan berhasil @byu_id  bagaimana tindakan anda saat ini;positif
Oct-03;MAS BRAM;hemat pangkal irit.;netral
Oct-03;~;Ping besar main pubgm;positif
Oct-03;pluto;Goblok;netral
Oct-03;calon sarjana;Pangkalpinang;netral
Oct-03;Jovaaa;Rambut;netral
Oct-03;APIN;Rajin pangkal pandai  hemat pangkal lau make by.u bisa pilih topping sesuka kita;netral
Oct-03;no one;hemat pangkal khilaf;netral
Oct-03;lown;Paketan By.u;netral
Oct-03;BungoMart;Bukti isi pulsa 40rb;netral
Oct-03;BungoMart;Bukti masih masuk saat di isi pulsa 100rb;netral
Oct-03;알반;Mau jawab hemat  Tapi ada yg lebih hemat;netral
Oct-03;Cangkaruk;Katanya 'wrong answer'   aku salah malah dibenerin.. hmm;negatif
Oct-03;run!;putung;netral
Oct-03;Rzky Purnama;Rajin pangkal pandai  hemat pangkal WRONG;netral
Oct-03;energen;Mie ayam;netral
Oct-03;BungoMart;Enak ya lepas tanggung jawab @byu_id;positif
Oct-03;anak langit;Rajin pangkal pandai  hemat pangkal pinang;netral
Oct-03;Lia;minnn  baru beli kartu by.u ini. kalo ga lgsg diaktifin gapapa? berapa lama maximal harus aktifin dari kartu sampe yaa???;negatif
Oct-03;&y;Spesial pake telor;positif
Oct-03;yo!;Hemat pangkal kalo aku yg chat ada yg marah ga?;negatif
Oct-03;caec;rajin pangkal pandai  hemat pangkal pelit;negatif
Oct-03;Saya adalah;Yg paling lucu dapat apa nih min?;positif
Oct-03;jun;Pakai by.u;netral
Oct-03;Suka Biologi;Hemat pangkal kuota belajar;netral
Oct-03;BungoMart;Saya sangat kecewa dengan pelayan Telkomsel @byu_id kartu sebelum di isi tidak ada pemberitahuan pemblokiran  tapi setelah di isi dengan pulsa 140rb dan di belikan paket tau tau kena blokir. Katanya kartu ga pernah pake  padahal aktif di modem;negatif
Oct-03;dan;Hemat pangkal an bun;netral
Oct-03;babar;pangkalan ojek;netral
Oct-03;f i d;Baru aja mau jawab ini;netral
Oct-03;blckxugar⁷;Jomblo;netral
Oct-03;𝐑𝐀𝐍 #IN生  lg ambis;@byu_id min aku daftarin nomor byu ke kemendikbut lewat sekolah tapi kok belum dapet kuota bantuan ya? Temen² yg lain udah pada dapet;negatif
Oct-03;Ackerman ;Hemat pangkal 1mbps 100k 30 hari;netral
Oct-03;sectumsempra;Hemat pangkal melarat  chuaaksz;netral
Oct-03;𝙩𝙖 ;Kapan paket 1mbps sebulan ada lagi;netral
Oct-03;;pangkal lidah;netral
Oct-03;kintilkibing;Dangkal;negatif
Oct-03;Firman;an Ojek;netral
Oct-03;QUHU-Iam;Admin bisa gak beli pulsa by.u di konter tempat biasa beli pulsa Telkomsel;negatif
Oct-03;azzuuuu;@byu_id min ko tadi beli paket tapi statusnya pending terus yah :(;netral
Oct-03;Alvin;@byu_id kenapa sehabis hujan dan ketika hujan h+;netral
Oct-03;xxyyy;Sudah secara rutin ngecek smpai skrg gada juha;netral
Oct-03;N A N D A ;Kwkwwk takut pasti;negatif
Oct-03;nayerrr;ngga gimana gimana  sekarang udh oke;positif
Oct-03;Andreee E nya Tiga;percuma pake @byu_id   pasang kuota toping malah tetap motong kuota data. sampah.;negatif
Oct-03;N A N D A ;Kwkwwk jadi gimana..;netral
Oct-03;N A N D A ;@byu_id perbaiki jaringanmu;netral
Oct-03;☻;Bisa dapet nasi padang  saya punya kenalan orang padang;netral
Oct-03;リファイ;@byu_id halo by.u saya telah melakukan pemesanan nomor dan paket. Telah bayar juga. Apakah bisa ganti tempat pengambbilan atau cara mendapatkan sim nya. Soalnya ada kesalahan pas input prngambilannya. Terima kasih;negatif
Oct-03;Fajar KA;Kembalikan 100k/bulam 1mbps;negatif
Oct-03;Fajar KA;Kembalikan 100k/bulan 1mbps;negatif
Oct-03;fu;aku aja bingung knp ada dua;negatif
Oct-03;Telkomsel;Baik  Kak Andre. Ditunggu bentar lagi ya Kak. Mimin by.U pasti dengan senang hati akan segera merespon Kakak. Makasih :) -Cheryl;positif
Oct-03;Andre;Sudah Komen d @byu_id tapi gak Ada balasan sama sekali;negatif
Oct-03;Andre;Mau Tanya ni admin  sy pakai by u dengan kuota unlimited 1 5Mbps. Kenapa kok Hanya bisa buka Facebook saja? Situs lain gak bisa  bahkan buka YouTube pun gak bisa  tolong diperjelas masalah ini.;negatif
Oct-03;Telkomsel;Hi  Kak Andre. Perihal informasi seputar produk dan aplikasi by.U  kakak bisa mendapatkan penanganan resmi melalui channel by.U help center melalui: 1. Website: http://byu.id  2. Direct Message Instagram: @byu.id  3. Direct Message Twitter: @byu_id  (1/2);positif
Oct-03;Annn;Dapet kuota topping yutub 500mb tapi malah gak bisa dipake nnton yutub  kenapa gabisa dipake ini paketnya heyy @byu_id ???;negatif
Oct-03;BONEKA KARDUS;aku cuma satu;negatif
Oct-03;Mulyono;@byu_id min  kalau mau order simcard kedua dengan akun yang sama ga bisa ya?;negatif
Oct-03;jemuran tetangga;Emang ada expired nya? Itu karna lama ga isi pulsa ya?;negatif
Oct-03;Fasiq;Eh anjim ga di tag juga wkwk;netral
Oct-03;Gag;Seragam sekolah ya kak?  Cosplay anak sekolah ah;netral
Oct-03;Akhyar Fatah;Moga 2rb dapet 50gb...Aamiin;netral
Oct-03;nge-lints;min kaya nya by.u ga support ya buat main game ???? [brttnya];netral
Oct-03;Rendi Renata;paket unlimited 3 jam tapi ini 2 rebu 5 ratus;netral
Oct-03;madtoyou;ikan hiu makan tomat. iyalahh yg marketing byU  belain byU kaya uda pacar . jangankan main game  buka IG aja lelet ;negatif
Oct-03;ryurachmat_96;Cek d reward coba;netral
Oct-03;Dandi.pee;Wow  akhirnya ada provider internet yang bebasin kamu bikin paket internet semuanya semaunya. Pesen SIM card-nya di sini dan dapetin tambahan kuota 2GB! Klik di sini:  https://byu.id/referral?code=BYDAND2046129&action=referral&type=referral… @byu_id;positif
Oct-03;djakaditow;ni dari kemaren postingannya nyinggung provider lain mulu;netral
Oct-02;♬ Falencia Laluna  ♬;@byu_id malam min mohon bantuannya kenapa jaringan saya edge trus dari mulai saya aktifkan kartu sampai sekarang padahal jaringan apn'a sudah saya setting ke jaringan byu;netral
Oct-02;a.k.a;bisa jadi;netral
Oct-02;Nico Wijaya;Gw upload video kang cilor nyepik mantan nih;netral
Oct-02;BRUANG JALANG ™;Percuma terlambat lahir kalo kecepetan ngaceng ... *eh gimana? ;negatif
Oct-02;Nico Wijaya;Percuma nomor lama kalau kecepetan lahir.  ;negatif
Oct-02;sicupu;Cilok;netral
Oct-02;BRUANG JALANG ™;Indosat gue nomer lama nic  sejak indosat baru operasional wakakakaakakkaka;negatif
Oct-02;Nico Wijaya;Nah gitu  hari gini pake indosat;netral
Oct-02;BRUANG JALANG ™;Nyobain @byu_id  Mayan kenceng  cukup buat ngenetflix  ;positif
Oct-02;Arif Budi;Kuota belajar bisa di pakai di google drive nggak min?;netral
Oct-02;Arif Budi;Adain promo dong min  masak ulang tahun nggak ada promo kuota;netral
Oct-02;Cucu Cahyaning Puri;Ka  cepatlah pulang. Km sudah mulai error;netral
Oct-02;Rega;Tapi masih ada paketny sedikit yg telkomsel;netral
Oct-02;kalo dipanggil ami;Ayo cpatt claim ;netral
Oct-02;Rega;Udah adaaa wkwk;netral
Oct-02;kalo dipanggil ami;Cek di profil-reward saya.;netral
Oct-02;pecinta rambak kulit;@byu_id min nomer ku uda dinonaktifkan sistem  untuk no kk dan nik uda otomatis hangus apa harus diurus??;negatif
Oct-02;Rega;Aku gak ada :(;negatif
Oct-02;Steven Han;@byu_id ini ditengah kota jaringan by.u(telkomsel koq jelek bgt ya) gk ad sinyal sama sekali paling bnyk jg 1. Mohon di tingkatkan lg   sia” soal nya quota gk kepake .;negatif
Oct-02;ssabrinaa⁷ ;Min ini dipake kuliah ngezoom gapapa? Lama tapi;negatif
Oct-02; トンガム です;1 masker medis   kembalian gopek;netral
Oct-02;Habi;Hari gini 2000 bisa beli voucher WiFi tetangga selama 6 jam kalau @byu_id 6 jam bayar 4000;netral
Oct-02;;Apaa?? Kuota unlimited 1 bulan sekarang 2rb?? Wkwk;netral
Oct-02;AndhikaMaulana;Kuota kumat nya kak;netral
Oct-02;walldown;@byu_id udah beberapa hari terakhir sering gangguan;negatif
Oct-02;Ayu F Murdiaty 예나 김;pake 3 ajalah yauww;netral
Oct-02;langit biru;Batas waktunya Nindy    kalo bisa jangan mentok di 30 hari     60 hari atau 90 hari gtu   biar anteng   ga khawatir lg   ;netral
Oct-02;Kang Kopi;2 ribu unli sehari :p;netral
Oct-02;Khalifa;2 ribu 10gb sebulan wow mantap;positif
Oct-02;Fadilnst;Gele sebats;netral
Oct-02;Mift;Bikin promo buat penguna 6bln keatas buat paketan unlimited 2 hari wkwk;netral
Oct-02;fuck it;adain kuota unlimited 1 bulan min;netral
Oct-02;veeee;Harus nya dpt kuota min  semoga sisa pulsa 2 ribuku berguna ;positif
Oct-02;Anak Kelima;Apa lagi dong?;netral
Oct-02;A D A M;@byu_id cek dm dong;netral
Oct-02;bcthehe;100rb 1bulan 1mbps nya adain lagi lah  lebih hemat buat kalangan pelajar;netral
Oct-02;your bestie;@byu_id cek dm min;netral
Oct-02;Dwiki Fathurohman;heheh iyaa kangen sama user interface nya   bukan fomo tapi yaa ;positif
Oct-02;Rifki Chandra Raydzika;2k x 50 paket 1Mbps 30hari miiinnnnnnnnn;netral
Oct-02;M Fajar Maulana;Mayan kanggo meser udud;netral
Oct-02;KAMU PUAS , AKU SENANG !;@byu_id cek dm yah;netral
Oct-02;bye;Kangen min yang suka tiba tiba mahh  sayang mah ada prosesnya ;positif
Oct-02;JAFRAmarket;Parkir motor pinggir jalan msh bs sih;netral
Oct-02;iya;malam min @byu_id   nomer byu emang gabisa buat nelpon ya? aku coba hubungi kemana-mana gabisa;negatif
Oct-02;Dwiki Fathurohman;ngisi angin ban motor depan belakang siy;netral
Oct-02;Mai;cilok 14 biji;netral
Oct-02;Mid;2rb kuota 5gb untuk 14 hari ;netral
Oct-02;ibnuar;Kak  bisa ga sih kita aktifin paket yang mau kita aktifin ajaa  jd sayang nih paket dr by.U blm kepke mana deket deadline :);netral
Oct-02;⟭⟬ ᴮᴱ아리 ⟬⟭ ⁷ ∞ ;takapa kak hehe harganya 140rb  masa berlaku 30 hari  kecepatan dibatasi maksimal 1.5Mbps. tp so far aku pake yg biasa buat donlot jg kecepatannya jarang lebih dr 1.5 sih  jd ga ngaruh walau ganti kr yg unlimited ini hehe;negatif
Oct-02;ScreamDay;Kuota harian 2GB;netral
Oct-02;Ahmad Sidik;@byu_id dua hari lagi ultah mau ngasih berapa GIGA ni kak ;netral
Oct-02;Donny Dwi Cahya;Sama dapet es teajus di warung ;netral
Oct-02;AI SIA;tergantung  kamu isi paket kuota nya yang berapa;netral
Oct-02;Afolra;makasih min ;netral
Oct-02;Bukan Psychopat;2000 kalo di provider lain dapet kuota midnight 2gb dari jam 1-6;netral
Oct-02;ald;Kalo adminnya cewek  dihatinya Mimin nih eheheh;netral
Oct-02;yourhappiness;Dia emg ga peka min ;netral
Oct-02;kuah nasi uduk;Bukan minn tpi salah satu kota di Italia;negatif
Oct-02;RakyatJelata;Bayar tukang parkir indomaret :v;netral
Oct-02;Afolra;sudah dipakai min :( makanya diriku meminta topping ini;netral
Oct-02;Geist.Store;Hai kak Cek https://instagram.com/geist.store/ kalau cari Sepatu ya   Toko kita di Klojen Malang  eits KITA GIVE AWAY TIAP BULAN JUGA YA ;negatif
Oct-02;Madaniii;Kuota malam atuh min euy;netral
Oct-02;#WearAMask;Paket 3  2gb/ hari  Itu dulu....;netral
Oct-02;¹ᴰℳ is on finaltest (kinda ia) ◟̽◞̽;2 ribu 1 gb biasanya nin :D;netral
Oct-02;Dodie;@byu_id abis ujan kali ya jd lemot gini;negatif
Oct-02;close;iya dong. biar ga ketinggalan info kalo ada kelas atau tugas mendadak uhuy;netral
Oct-02;17;kencing di toilet umum;negatif
Oct-02;detik;iya dong bener banget  biar kalo tidak ada sinyal masih bisa telfon telfonan;negatif
Oct-02;Ikhsan Muchtar;Beli dua paket seribuan punya Tri min;netral
Oct-02;FXXKINGBITCH;dua ribu mungkin bisa dapet kado ultah 20GB/20hari dari by.U ;netral
Oct-02;calon imam mu;Siapa aj boleh;netral
Oct-02;haidirfadly;Rahasia;netral
Oct-02;ulumindo;Di aplikasi @byu_id  tidak ada saya cari. Bagaimana caranya ya;negatif
Oct-02;Khalilvand;Teh beneran min ;netral
Oct-02;HOMO HOMINI HOMO;Beli sate Usus dapet 4 tusuk.. lumayan lah ngenyangin;positif
Oct-02;84;Dapet unlimited seminggu dong wkwk;netral
Oct-02;;nasi bungkus;netral
Oct-02;ulumindo;Update aplikasinya mantap. Saya suka. Terima kasih @byu_id;positif
Oct-02;Pizza Boy;setujuuu ;netral
Oct-02;haidirfadly;2500 unlimited 3 jam. Jan sampe ilang berguna bgt;positif
Oct-02;bye;Bayar parkir euy;netral
Oct-02;Dulur Supermen;Aku hotspotin ke laptop nonton ytube kuat ko sampe 720p;netral
Oct-02;sa | sj & wendy enthusiast;@byu_id halo  aku mau tanya di aplikasi by.u aku katanya udah bisa diambil di indomaret terdekat. Tapi pas aku datangin kok belum ada ya?;negatif
Oct-02;Feby Ramdani;Cek reward ternyata ada yg gini. Tengkyu @byu_id ;netral
Oct-02;M N Huda;Ya sama aja kl gitu sama disini;netral
Oct-02;ukhtie santuy;Ya begitulah  tpi kyanya d luarmah biasa aja orang2;negatif
Oct-02;titi nurbaiti;Pake perdana h3ro dari tri aja buat ngegame  enak lancar jaya pas cek open signal ternyata udh kebukti jaringannya terbaik diantara yg laen;positif
Oct-02;Amalia;Cie yang mau ulang tahun ... keknya bakal ada bagi-bagi kuota gratis nih. Iya kan  @byu_id ? ;positif
Oct-02;kalo dipanggil ami;Makasih Nindy voucher KUMAT-nya @byu_id ;netral
Oct-02;M N Huda;Lah serem yak;negatif
Oct-02;ukhtie santuy;Zona oren lampung utara;netral
Oct-02;christianimmanuel.25;Kak tolong dong unlimited nya bisa diatur speed dan masa aktifnya kaya kuotanya.. soalnya ragu beli #amANJAYa speed cuma 1 5 mbps.. maunya 3 mbps jadi enak bisa dikustom gitu kak..;positif
Oct-02;hai den.;Setuju  udah males pake wa lagian lebih enak pake telegran;positif
Oct-02;Arif bukan Arip;Terimakasih mas ;netral
Oct-02;FJ-tika;Hallo team by.U  saya beli by.u dan kartu diambil di indomaret  infonya sudah siap diambil  tp ternyata info dari kasir indomaret nya sudah lama sekali tidak ada kartu by.u datang..  mohon dibantu.;negatif
Oct-02;PakRT;Kalo di @byu_id ini dari awal emang udah di limit speednya  pilihannya 1mbps atau sekitar 125kBps  sama 1.5mbps atau sekitar 180kBps. Speed yang cukup buat sosmed-an  streaming youtube  dsb. Asalkan jaringannya stabil. Ntar kucobain juga deh;positif
Oct-02;PakRT;Gara gara liat review nya @WisnuKumoro sama @DGadgetIn jadi tertarik nyobain @byu_id;positif
Oct-02;Aip;XL pun gak ada;negatif
Oct-02;Aip;3 gak ada;negatif
Oct-02;Aip;Indosat gak ada;negatif
Oct-02;fu;sandii;netral
Oct-02;_yourpanda_;masi kesel ama bapaknya  eh anaknya kasi perhatian  makasih  Nindy @byu_id;positif
Oct-02;Nji.;alhamdulillah;netral
Oct-02;kayA;Awal awal pemakaian emg agak lelet. Tapi lama kelamaan worth it kok ;negatif
Oct-02;G ;Minnn  paketan yg 1 5 mbps ini jangan hilangkan lagi yaaa. Aku match banget sama dia  ngebantu banget selama WFH + Harus Kuliah Online juga dimasa pandemi gini;netral
Oct-02;kuah nasi uduk;Min knp pingnya suka nge jump siii ;netral
Oct-02;Yaudah gpp;Sudah 9 bulan ternyata  bentar lagi brojol  @byu_id;netral
Oct-02;SOLO;Kalo menurutku 140 speed segitu udh murah nder  kalo pake XL/Axis bisa 160++ sebulannya;positif
Oct-02;Wannie;Iyah into nya yg itu. Pokok nya lebih enak yg dulu 1Mbps  lebih stabil buat game atau nonton.;positif
Oct-02;#TOLAKOMNIBUSLAW;apa nih wkwkwkwk;netral
Oct-02;Dewoz;Nih boss lebih murah di tempat ane karawang Timur buat donwload jam 1 pagi aja dapet 10mbps;negatif
Oct-02;sulthon;Dia berharap sepertinya kecepatan nya MBps wkwkwk;netral
Oct-02;Waktu;Wkwkwk edukasi terus gan ;netral
Oct-02;sulthon;Itu Mbps ya mas  bukan MBps. Jadi ya ttp sama bakal kbps jadinya;netral
Oct-02;Argindo Pratama T;Akhirnya setelah menunggu dari 30 september. Terimakasih ya @byu_id untuk bad experience nya.;negatif
Oct-02;tii;asikkk;netral
Oct-02;tii;doain langgeng ya @byu_id;netral
Oct-02;Kabag Humas Tuiter;"emang gitu om    kalkulasinya kan kayak ni ""1 Mbps (Mega bit per second) = 1000 Kbps (Kilo bit per second) = 125 KBps (Kilo byte per second)""";netral
Oct-02;Skeleton flower ;Kok aq gemes bgd ya sama @byu_id    thank u gift anniv 6 month.a manis bgd sih kamu  pas bgd aku blm isi  pulsa;positif
Oct-02;yayangk;@byu_id kak  mohon tolong cek DM dari aku  Terima kasih  kakk;netral
Oct-02;Argindo Pratama T;Kecewa sih sama @byu_id ga rekomen banget dari servis dan problem solvingnya lelet. Katanya provider online pertama  buat nyaman  semaunya sepuasnya. Apa itu hanya sekedar tagline hai @byu_id ? #amANJAYa;negatif
Oct-02;Argindo Pratama T;Kalo dari dm twitrer sama juga  jawabannya juga ga jelas  katanya buat nyaman tapi ga jelas. Kalo memang kesalahan ada di customer kalian akan lakuin gimana? Kalo kesalahan dari @byu_id cuma disuruh nunggu dengan waktu yang ga pasti;positif
Oct-02;Argindo Pratama T;Update lagi nih tentang jeleknya servis dari @byu_id via live chat ditanya soal updatenya responnya lama :) dan ga sesuai dengan apa yang disampaikan dan bertele-tele;positif
Oct-02;Arif bukan Arip;sampe sekarang masih stabil di 1 4 Mbps kah mas?;netral
Oct-02;TempatGWngegalau;gmn ini keluhan ga direspon? enak bgt motong pulsa 100000 ilang kmn ga jelas woii;positif
Oct-02;Waktu;Buat youtube 720p masih playable. Tapi emang ada benernya sih  di testing awal bisa tembus 2 Mbps lebih  setelah itu turun dan stabil di 1 4 Mbps;negatif
